NPI,provider_state,last_updated,entity_type,provider_gender,provider_age,pair_number,HealthcareProviderTaxonomyCode,HealthcareProviderPrimaryTaxonomySwitch
1801891569,ID,2008-09-02,individual,female,47,2,207V00000X,Y
1710987664,HI,2009-07-27,individual,male,61,1,207P00000X,Y
1275533184,ID,2014-08-07,individual,male,49,1,207V00000X,Y
1386644318,ID,2012-03-01,individual,male,51,1,207V00000X,Y
1497757223,HI,2011-09-15,individual,male,62,1,207V00000X,Y
1427041730,ID,2016-01-28,individual,male,55,1,207P00000X,Y
1760475081,ID,2010-02-23,individual,male,52,1,207P00000X,Y
1891788196,ID,2016-01-29,individual,male,45,1,207P00000X,Y
1144213455,ID,2016-06-14,individual,male,52,1,207P00000X,Y
1851384143,ID,2016-01-28,individual,male,49,1,207P00000X,Y
1548253842,ID,2016-01-28,individual,male,45,1,207P00000X,Y
1396738696,ID,2016-01-28,individual,male,48,1,207P00000X,Y
1740273044,ID,2016-01-28,individual,male,52,1,207P00000X,Y
1558354852,ID,2010-07-01,individual,male,45,1,207P00000X,Y
1134112444,ID,2016-01-29,individual,male,44,1,207P00000X,Y
1629061940,ID,2016-01-28,individual,male,45,1,207P00000X,Y
1689667651,ID,2010-02-23,individual,male,54,1,207P00000X,Y
1508850397,ID,2016-10-05,individual,male,49,1,207P00000X,Y
1194719732,ID,2013-10-29,individual,male,47,1,207V00000X,Y
1255325882,ID,2012-09-13,individual,male,51,1,207V00000X,Y
1508850140,ID,2011-03-04,individual,male,41,1,207V00000X,Y
1982699435,ID,2013-07-30,individual,male,48,1,207V00000X,Y
1790770246,ID,2013-12-06,individual,female,42,1,207V00000X,Y
1861488413,ID,2010-09-10,individual,male,50,1,207P00000X,Y
1639165244,HI,2011-11-22,individual,male,58,1,207V00000X,Y
1013903640,HI,2009-06-17,individual,male,54,2,207P00000X,Y
1316934698,HI,2008-08-07,individual,female,46,1,207V00000X,Y
1841280898,ID,2013-12-18,individual,male,45,1,207V00000X,Y
1669462149,ID,2012-07-19,individual,female,44,1,207V00000X,Y
1710978036,ID,2015-09-25,individual,male,51,1,207P00000X,Y
1477536472,HI,2011-09-07,individual,male,62,1,207V00000X,Y
1922082049,HI,2016-07-28,individual,male,60,1,207V00000X,Y
1811971930,HI,2011-09-27,individual,female,49,1,207V00000X,Y
1518941632,HI,2015-03-26,individual,female,49,1,207V00000X,Y
1699759746,HI,2015-11-09,individual,female,48,1,207V00000X,Y
1467436006,HI,2011-05-19,individual,male,66,2,207V00000X,Y
1700861812,HI,2015-09-25,individual,female,54,1,207V00000X,Y
1780661215,ID,2014-01-06,individual,male,43,1,207P00000X,Y
1891772299,HI,2009-02-04,individual,female,51,1,207V00000X,Y
1477530715,ID,2013-08-27,individual,male,53,1,207V00000X,Y
1346228863,HI,2010-01-12,individual,female,55,1,207V00000X,Y
1548248214,ID,2010-07-28,individual,male,45,1,207V00000X,Y
1144200916,ID,2012-07-19,individual,male,47,1,207V00000X,Y
1598735391,ID,2014-08-06,individual,male,57,1,207V00000X,Y
1407826209,ID,2009-08-04,individual,female,49,1,207V00000X,Y
1407826167,ID,2013-01-15,individual,male,49,1,207V00000X,Y
1205806965,ID,2013-01-15,individual,male,44,1,207V00000X,Y
1831169598,ID,2013-01-15,individual,male,43,1,207V00000X,Y
1104898550,ID,2013-01-15,individual,female,45,1,207V00000X,Y
1760455562,HI,2015-09-16,individual,female,48,1,207V00000X,Y
1356316509,ID,2013-07-09,individual,female,43,1,207V00000X,Y
1780659920,ID,2016-03-07,individual,male,47,1,207V00000X,Y
1740255504,ID,2016-11-10,individual,female,41,1,207V00000X,Y
1316914807,HI,2009-10-16,individual,female,49,1,207P00000X,Y
1578523577,ID,2010-08-05,individual,male,43,1,207P00000X,Y
1942261862,HI,2011-09-02,individual,male,51,1,207V00000X,Y
1295796266,HI,2014-07-30,individual,female,50,1,207V00000X,Y
1952363780,ID,2011-01-14,individual,male,61,1,207P00000X,Y
1962465997,ID,2013-01-31,individual,female,43,1,207V00000X,Y
1841254299,HI,2014-02-23,individual,male,66,1,207P00000X,Y
1376507624,HI,2010-03-18,individual,male,54,1,207V00000X,Y
1952366650,HI,2012-03-27,individual,female,53,1,207V00000X,Y
1588620751,ID,2012-01-23,individual,male,50,1,207V00000X,Y
1750347860,HI,2009-02-13,individual,male,53,1,207V00000X,Y
1518924026,ID,2015-01-06,individual,female,44,2,207V00000X,Y
1184681447,ID,2011-06-23,individual,male,44,1,207P00000X,Y
1487612206,HI,2008-06-03,individual,male,57,1,207P00000X,Y
1730147000,ID,2008-07-25,individual,female,45,1,207V00000X,Y
1396793501,HI,2011-10-10,individual,male,56,1,207V00000X,Y
1164470035,ID,2015-01-22,individual,male,56,1,207V00000X,Y
1831147248,ID,2013-07-24,individual,male,48,1,207V00000X,Y
1609824143,ID,2008-07-25,individual,male,52,1,207V00000X,Y
1477502649,HI,2012-04-30,individual,male,58,1,207P00000X,Y
1417906405,ID,2013-03-13,individual,female,43,1,207V00000X,Y
1437109873,ID,2013-11-27,individual,female,44,1,207V00000X,Y
1396796207,ID,2012-09-20,individual,male,47,1,207V00000X,Y
1982655932,ID,2016-06-02,individual,male,57,2,207P00000X,Y
1801848221,ID,2011-10-07,individual,male,49,1,207V00000X,Y
1275586927,HI,2010-11-01,individual,female,52,1,207P00000X,Y
1902858798,HI,2016-06-07,individual,male,54,1,207P00000X,Y
1639121361,ID,2011-10-24,individual,female,41,1,207V00000X,Y
1821041583,HI,2016-09-20,individual,male,49,1,207P00000X,Y
1982657425,HI,2013-05-27,individual,male,68,1,207P00000X,Y
1386697399,ID,2010-02-16,individual,female,42,1,207V00000X,Y
1558314435,HI,2008-07-11,individual,male,53,1,207P00000X,Y
1144273079,ID,2014-10-20,individual,male,50,1,207P00000X,Y
1205889136,ID,2015-09-25,individual,male,45,1,207P00000X,Y
1881647782,HI,2012-12-05,individual,male,61,1,207P00000X,Y
1326091224,HI,2013-05-29,individual,male,53,1,207P00000X,Y
1982657896,ID,2015-09-25,individual,male,49,1,207P00000X,Y
1548213457,ID,2015-05-18,individual,male,60,1,207P00000X,Y
1659325256,HI,2010-07-21,individual,male,60,1,207P00000X,Y
1073567574,ID,2015-09-25,individual,female,47,1,207P00000X,Y
1548214927,ID,2013-06-19,individual,male,44,1,207V00000X,Y
1215981741,ID,2016-10-20,individual,male,49,2,207P00000X,Y
1881648251,ID,2016-11-10,individual,male,43,1,207V00000X,Y
1821042334,ID,2015-09-25,individual,male,58,1,207P00000X,Y
1922052448,ID,2016-10-25,individual,male,52,2,207P00000X,Y
1770538514,ID,2011-10-06,individual,male,49,1,207P00000X,Y
1801841457,ID,2016-05-12,individual,female,42,1,207V00000X,Y
1861447120,HI,2011-05-13,individual,female,56,1,207V00000X,Y
1417902727,ID,2013-08-06,individual,female,43,1,207V00000X,Y
1306893359,ID,2014-09-04,individual,male,53,1,207P00000X,Y
1205873247,ID,2011-01-25,individual,male,44,1,207P00000X,Y
1871530824,ID,2009-12-03,individual,male,52,1,207P00000X,Y
1407803612,ID,2017-02-06,individual,male,51,1,207P00000X,Y
1861449084,ID,2011-03-14,individual,female,45,1,207V00000X,Y
1386681336,ID,2015-09-25,individual,male,50,1,207P00000X,Y
1518904598,ID,2015-09-25,individual,male,46,1,207P00000X,Y
1184661746,ID,2012-06-29,individual,male,45,1,207P00000X,Y
1043257926,HI,2013-03-22,individual,male,65,1,207V00000X,Y
1184662256,HI,2011-03-07,individual,male,60,1,207P00000X,Y
1841238532,HI,2008-10-09,individual,male,57,1,207P00000X,Y
1699713396,HI,2010-09-17,individual,male,57,1,207P00000X,Y
1134167810,HI,2009-06-16,individual,male,999,1,207P00000X,Y
1609814193,ID,2008-05-05,individual,female,46,1,207P00000X,Y
1578502589,ID,2015-01-07,individual,male,53,1,207V00000X,Y
1770522054,ID,2016-11-10,individual,female,45,1,207V00000X,Y
1053350744,ID,2016-11-22,individual,male,48,1,207P00000X,Y
1124068325,HI,2012-01-11,individual,male,58,1,207P00000X,Y
1871533018,ID,2008-02-27,individual,male,55,1,207P00000X,Y
1427099571,ID,2010-07-28,individual,male,48,1,207P00000X,Y
1013958099,ID,2009-08-19,individual,male,54,2,207P00000X,Y
1588605364,ID,2009-09-01,individual,female,43,1,207V00000X,Y
1134160062,ID,2009-03-05,individual,female,45,1,207V00000X,Y
1649212119,ID,2016-11-15,individual,female,42,1,207V00000X,Y
1699717629,ID,2013-10-01,individual,female,44,1,207P00000X,Y
1003859653,HI,2008-10-09,individual,male,62,1,207P00000X,Y
1508809146,HI,2008-10-09,individual,male,61,1,207P00000X,Y
1891738464,HI,2016-06-07,individual,male,69,1,207P00000X,Y
1609819010,HI,2010-03-05,individual,male,50,1,207P00000X,Y
1750324968,ID,2008-05-22,individual,male,52,1,207P00000X,Y
1972547172,ID,2016-01-29,individual,male,51,1,207P00000X,Y
1861436081,ID,2008-12-31,individual,female,45,1,207V00000X,Y
1235174962,HI,2011-04-29,individual,female,50,1,207V00000X,Y
1619912953,ID,2014-08-08,individual,male,46,1,207P00000X,Y
1649216375,ID,2014-11-10,individual,female,44,1,207P00000X,Y
1912943325,HI,2011-09-30,individual,female,57,1,207V00000X,Y
1396781704,HI,2013-04-04,individual,male,55,1,207P00000X,Y
1326074360,HI,2011-01-13,individual,female,55,1,207P00000X,Y
1346276052,HI,2011-11-29,individual,male,57,1,207P00000X,Y
1447287644,ID,2009-06-24,individual,female,46,1,207V00000X,Y
1497781702,ID,2013-05-10,individual,female,45,1,207V00000X,Y
1326075565,HI,2016-06-07,individual,male,65,1,207P00000X,Y
1710914031,HI,2010-09-09,individual,male,64,1,207V00000X,Y
1831126556,HI,2011-06-28,individual,male,58,1,207P00000X,Y
1164459798,ID,2014-10-15,individual,male,52,1,207V00000X,Y
1275560815,ID,2010-07-28,individual,male,44,1,207V00000X,Y
1407883978,ID,2013-12-11,individual,male,49,1,207P00000X,Y
1912935685,ID,2014-08-27,individual,male,50,1,207P00000X,Y
1457389926,ID,2012-09-20,individual,male,53,1,207V00000X,Y
1366470833,ID,2013-07-31,individual,male,47,1,207V00000X,Y
1538198916,HI,2008-09-03,individual,female,46,1,207P00000X,Y
1225067820,HI,2008-06-04,individual,male,57,1,207P00000X,Y
1548290141,ID,2009-06-26,individual,male,47,1,207V00000X,Y
1770513228,ID,2013-04-22,individual,male,42,1,207V00000X,Y
1417987710,ID,2013-07-30,individual,female,45,1,207V00000X,Y
1881624138,ID,2012-07-24,individual,female,44,1,207V00000X,Y
1689604993,ID,2012-07-20,individual,male,55,2,207V00000X,Y
1336170786,HI,2008-11-21,individual,male,54,1,207P00000X,Y
1871524256,ID,2014-08-12,individual,male,54,1,207P00000X,Y
1013940907,ID,2015-06-19,individual,male,53,1,207P00000X,Y
1194757393,ID,2015-09-03,individual,male,49,1,207V00000X,Y
1235162959,HI,2014-12-08,individual,male,55,1,207P00000X,Y
1427081983,ID,2015-09-25,individual,male,44,1,207P00000X,Y
1225062946,ID,2010-11-04,individual,female,44,1,207V00000X,Y
1366476376,HI,2011-01-22,individual,male,60,1,207V00000X,Y
1265466361,ID,2008-01-16,individual,male,44,1,207P00000X,Y
1548295249,ID,2015-09-25,individual,male,49,1,207P00000X,Y
1578598173,HI,2011-02-07,individual,male,56,1,207P00000X,Y
1013942325,HI,2011-09-16,individual,female,54,1,207P00000X,Y
1679598759,HI,2014-03-12,individual,male,66,1,207V00000X,Y
1588699920,HI,2008-04-02,individual,male,57,1,207P00000X,Y
1790700557,ID,2013-09-18,individual,female,38,1,207V00000X,Y
1124043989,ID,2011-03-04,individual,male,47,1,207V00000X,Y
1396763793,ID,2014-12-10,individual,male,47,2,207V00000X,Y
1801815964,ID,2013-09-18,individual,male,47,1,207V00000X,Y
1891717088,ID,2013-07-24,individual,male,46,1,207V00000X,Y
1154344190,ID,2012-03-30,individual,female,43,1,207V00000X,Y
1629091491,ID,2015-04-01,individual,male,42,1,207P00000X,Y
1144243916,ID,2015-09-25,individual,male,51,1,207P00000X,Y
1134142623,ID,2015-09-25,individual,male,47,1,207P00000X,Y
1073537684,HI,2014-09-18,individual,female,50,1,207V00000X,Y
1043234644,HI,2014-09-12,individual,female,56,1,207V00000X,Y
1851307367,ID,2015-09-25,individual,male,48,1,207P00000X,Y
1225045693,ID,2014-12-04,individual,male,52,1,207V00000X,Y
1902813371,ID,2014-12-04,individual,male,47,1,207V00000X,Y
1710994173,ID,2014-12-09,individual,male,47,1,207V00000X,Y
1982611356,ID,2015-01-08,individual,male,47,1,207V00000X,Y
1568479301,ID,2014-12-09,individual,male,56,1,207V00000X,Y
1073521837,HI,2008-01-27,individual,female,51,1,207V00000X,Y
1346252566,HI,2008-10-27,individual,female,48,1,207V00000X,Y
1114930906,HI,2012-04-18,individual,male,68,1,207P00000X,Y
1104939362,HI,2016-01-22,individual,male,52,1,207P00000X,Y
1053424887,HI,2016-08-03,individual,male,57,1,207P00000X,Y
1740393149,HI,2012-03-16,individual,female,53,1,207P00000X,Y
1457465577,HI,2011-08-13,individual,male,59,1,207P00000X,Y
1144335332,ID,2016-11-10,individual,female,41,1,207V00000X,Y
1942315775,HI,2009-07-31,individual,male,58,1,207P00000X,Y
1639287865,ID,2010-06-30,individual,female,43,1,207P00000X,Y
1750490546,ID,2016-08-22,individual,male,46,1,207V00000X,Y
1588773527,ID,2016-08-29,individual,male,46,1,207P00000X,Y
1023128493,ID,2016-06-14,individual,male,42,1,207P00000X,Y
1912018359,HI,2010-09-09,individual,female,54,1,207V00000X,Y
1083725824,HI,2009-07-31,individual,female,50,1,207P00000X,Y
1710081450,ID,2015-05-13,individual,female,43,2,207V00000X,Y
1164527537,HI,2010-09-16,individual,male,55,1,207P00000X,Y
1013012533,HI,2010-09-08,individual,male,52,1,207P00000X,Y
1528163847,HI,2010-09-15,individual,male,54,1,207P00000X,Y
1366547432,HI,2010-09-29,individual,male,56,1,207P00000X,Y
1427157080,HI,2012-06-08,individual,male,59,1,207P00000X,Y
1689774788,ID,2014-10-13,individual,female,44,1,207V00000X,Y
1689775769,HI,2008-04-02,individual,female,55,1,207V00000X,Y
1093816191,HI,2011-06-09,individual,female,52,1,207V00000X,Y
1730280017,ID,2008-04-25,individual,female,45,1,207V00000X,Y
1023119385,HI,2008-02-07,individual,male,58,1,207V00000X,Y
1164513917,HI,2010-09-16,individual,female,56,1,207P00000X,Y
1831281229,HI,2010-07-26,individual,female,47,1,207V00000X,Y
1972696565,ID,2012-07-19,individual,male,46,1,207V00000X,Y
1952495319,HI,2010-08-26,individual,female,52,1,207V00000X,Y
1285727768,ID,2016-02-29,individual,female,46,1,207V00000X,Y
1700972544,HI,2009-10-08,individual,female,54,2,207V00000X,Y
1275621104,ID,2011-01-25,individual,female,43,1,207P00000X,Y
1386732824,HI,2015-10-13,individual,male,57,1,207P00000X,Y
1225126733,HI,2012-02-08,individual,male,60,1,207V00000X,Y
1417046442,HI,2008-06-05,individual,male,54,1,207P00000X,Y
1831270073,ID,2011-09-12,individual,male,46,1,207P00000X,Y
1598847576,ID,2017-02-06,individual,male,47,1,207P00000X,Y
1104909670,HI,2008-01-18,individual,male,52,1,207V00000X,Y
1013090836,ID,2016-03-07,individual,male,61,2,207V00000X,Y
1144305632,HI,2011-06-21,individual,male,56,2,207P00000X,Y
1295811867,ID,2011-02-03,individual,male,44,1,207P00000X,Y
1427136167,HI,2009-09-04,individual,female,53,1,207V00000X,Y
1114005675,HI,2015-06-30,individual,female,52,1,207V00000X,Y
1215015912,HI,2008-12-09,individual,male,61,1,207P00000X,Y
1528137510,HI,2010-10-01,individual,male,60,1,207V00000X,Y
1710056577,ID,2015-09-03,individual,male,59,1,207V00000X,Y
1023187879,ID,2016-05-31,individual,female,43,1,207V00000X,Y
1295804987,HI,2010-10-05,individual,female,53,1,207V00000X,Y
1083783823,ID,2014-09-09,individual,male,46,2,207V00000X,Y
1396815452,HI,2011-01-07,individual,male,53,1,207P00000X,Y
1275603193,ID,2017-01-25,individual,male,50,1,207V00000X,Y
1013087303,HI,2011-08-04,individual,male,62,1,207V00000X,Y
1568533065,HI,2014-03-07,individual,male,53,1,207V00000X,Y
1740353432,ID,2015-08-18,individual,male,43,1,207P00000X,Y
1821161548,ID,2012-09-27,individual,female,45,1,207V00000X,Y
1134293889,HI,2010-10-01,individual,female,46,1,207P00000X,Y
1164596904,HI,2008-02-28,individual,male,62,1,207P00000X,Y
1093882490,ID,2011-04-29,individual,male,50,1,207V00000X,Y
1427126127,ID,2015-09-25,individual,female,42,1,207P00000X,Y
1265500938,ID,2011-09-12,individual,male,43,1,207P00000X,Y
